"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 17:34:41 GMT 2024","Mon Apr 22 17:34:42 GMT 2024","525","Main Suite","Smoke","tests.LoginTest","tests.LoginTest","wrongPasswordLoginTest","wrongPasswordLoginTest",""
"passed","Mon Apr 22 17:34:40 GMT 2024","Mon Apr 22 17:34:40 GMT 2024","511","Main Suite","Smoke","tests.LoginTest","tests.LoginTest","wrongEmailLoginTest","wrongEmailLoginTest",""
"passed","Mon Apr 22 17:34:37 GMT 2024","Mon Apr 22 17:34:39 GMT 2024","1139","Main Suite","Smoke","tests.LoginTest","tests.LoginTest","successfulLoginTest","successfulLoginTest",""
